# Input file: /home/c707165/Steffi/HATPRO/TestData/python_one_hour//ZENIT_140101_030911.BLB
# BLBMin_25.44 10.9499998093
# BLBMin_56.66 272.230010986
# BLBMin_31.4 269.700012207
# BLBMax_56.66 272.519989014
# BLBMax_25.44 91.1200027466
# BLBMin_51.26 269.869995117
# BLBMin_52.28 269.869995117
# BLBMin_23.84 10.6300001144
# FreqAnz 14
# BLBMax_31.4 269.700012207
# BLBTimeRef 1
# BLBCode 567845848
# BLBMin_26.24 129.940002441
# BLBMin_23.04 13.3599996567
# BLBMax_27.84 269.700012207
# BLBMax_58.0 271.920013428
# BLBMin_57.3 272.239990234
# BLBMax_54.94 269.869995117
# BLBMax_23.84 10.0399999619
# BLBMax_26.24 233.589996338
# BLBMax_22.24 14.6000003815
# BLBMax_52.28 269.869995117
# BLBMin_58.0 271.959991455
# AngleAnz 10
# BLBMin_53.86 269.869995117
# N 3
# BLBMax_53.86 269.869995117
# BLBMin_22.24 15.3500003815
# BLBMax_23.04 11.1999998093
# BLBMax_51.26 269.869995117
# BLBMin_27.84 267.799987793
# BLBMax_57.3 271.899993896
# BLBMin_54.94 269.869995117
# timestamp elevation frequence value
    1388545751 90.00  22.24            15.380000
    1388545751 90.00  23.04            14.960000
    1388545751 90.00  23.84            13.360000
    1388545751 90.00  25.44            11.280000
    1388545751 90.00  26.24            10.630000
    1388545751 90.00  27.84            10.270000
    1388545751 90.00  31.40            11.200000
    1388545751 90.00  51.26            91.269997
    1388545751 90.00  52.28           129.940002
    1388545751 90.00  53.86           233.589996
    1388545751 90.00  54.94           267.799988
    1388545751 90.00  56.66           271.899994
    1388545751 90.00  57.30           271.799988
    1388545751 90.00  58.00           271.920013
    1388545751 30.00  22.24            27.600000
    1388545751 30.00  23.04            26.709999
    1388545751 30.00  23.84            23.650000
    1388545751 30.00  25.44            19.639999
    1388545751 30.00  26.24            18.639999
    1388545751 30.00  27.84            17.879999
    1388545751 30.00  31.40            19.540001
    1388545751 30.00  51.26           151.009995
    1388545751 30.00  52.28           196.539993
    1388545751 30.00  53.86           264.970001
    1388545751 30.00  54.94           271.720001
    1388545751 30.00  56.66           271.730011
    1388545751 30.00  57.30           271.739990
    1388545751 30.00  58.00           271.579987
    1388545751 19.20  22.24            39.590000
    1388545751 19.20  23.04            38.209999
    1388545751 19.20  23.84            33.990002
