,lower,upper
319,269.0,297.0
320,269.0,297.0
321,269.0,297.0
322,269.0,297.0
323,269.0,297.0
324,269.0,297.0
325,269.0,297.0
326,269.0,297.0
327,269.0,297.0
328,269.0,297.0
329,269.0,297.0
330,269.0,297.0
331,269.0,297.0
332,269.0,297.0
333,269.0,297.0
334,269.0,297.0
335,269.0,297.0
336,269.0,297.0
337,269.0,297.0
338,269.0,297.0
339,269.0,297.0
340,269.0,297.0
341,269.0,297.0
342,269.0,297.0
343,269.0,297.0
344,269.0,297.0
345,269.0,297.0
346,269.0,297.0
347,269.0,297.0
348,269.0,298.0
349,269.0,298.0
350,269.0,298.0
351,269.0,298.0
352,269.0,298.0
353,269.0,298.0
354,269.0,298.0
355,269.0,298.0
356,269.0,298.0
357,269.0,298.0
358,269.0,298.0
359,269.0,299.0
360,270.0,299.0
361,270.0,299.0
362,270.0,299.0
363,270.0,299.0
364,270.0,299.0
365,270.0,299.0
