# Input file: /home/c707165/Steffi/HATPRO/TestData/python_one_hour//ZENIT_140101_030912.BRT
# BRTCode 666666
# TPCTimeRef 1
# FreqAnz 14
# N 176
# timestamp elevation frequence value
    1388545764 90.00  23.84            13.280000
    1388545764 90.00  25.44            11.290000
    1388545764 90.00  26.24            10.680000
    1388545764 90.00  27.84            10.260000
    1388545764 90.00  31.40            11.130000
    1388545764 90.00  51.26            91.250000
    1388545764 90.00  52.28           130.130005
    1388545764 90.00  53.86           233.330002
    1388545764 90.00  54.94           267.739990
    1388545764 90.00  56.66           271.720001
    1388545764 90.00  57.30           271.600006
    1388545764 90.00  58.00           271.549988
    1388545766 90.00  22.24            15.420000
    1388545766 90.00  23.04            15.020000
    1388545766 90.00  23.84            13.210000
    1388545766 90.00  25.44            11.270000
    1388545766 90.00  26.24            10.550000
    1388545766 90.00  27.84            10.240000
    1388545766 90.00  31.40            11.190000
    1388545766 90.00  51.26            91.199997
    1388545766 90.00  52.28           130.320007
    1388545766 90.00  53.86           233.490005
    1388545766 90.00  54.94           267.820007
    1388545766 90.00  56.66           271.329987
    1388545766 90.00  57.30           271.510010
    1388545766 90.00  58.00           271.480011
    1388545767 90.00  22.24            15.310000
    1388545767 90.00  23.04            14.910000
    1388545767 90.00  23.84            13.320000
    1388545767 90.00  25.44            11.290000
    1388545767 90.00  26.24            10.610000
    1388545767 90.00  27.84            10.190000
    1388545767 90.00  31.40            11.130000
    1388545767 90.00  51.26            91.290001
    1388545767 90.00  52.28           130.429993
    1388545767 90.00  53.86           233.320007
    1388545767 90.00  54.94           267.630005
    1388545767 90.00  56.66           271.519989
    1388545767 90.00  57.30           271.649994
    1388545767 90.00  58.00           271.450012
    1388545768 90.00  22.24            15.360000
    1388545768 90.00  23.04            14.900000
    1388545768 90.00  23.84            13.360000
    1388545768 90.00  25.44            11.270000
    1388545768 90.00  26.24            10.520000
    1388545768 90.00  27.84            10.240000
    1388545768 90.00  31.40            11.270000
    1388545768 90.00  51.26            91.040001
    1388545768 90.00  52.28           129.789993
    1388545768 90.00  53.86           233.289993
    1388545768 90.00  54.94           267.829987
    1388545768 90.00  56.66           271.429993
    1388545768 90.00  57.30           271.570007
    1388545768 90.00  58.00           271.410004
    1388545769 90.00  22.24            15.450000
    1388545769 90.00  23.04            14.820000
    1388545769 90.00  23.84            13.160000
    1388545769 90.00  25.44            11.190000
    1388545769 90.00  26.24            10.630000
    1388545769 90.00  27.84            10.230000
    1388545769 90.00  31.40            11.190000
    1388545769 90.00  51.26            91.570000
    1388545769 90.00  52.28           130.339996
    1388545769 90.00  53.86           233.639999
    1388545769 90.00  54.94           267.890015
    1388545769 90.00  56.66           271.579987
    1388545769 90.00  57.30           271.779999
    1388545769 90.00  58.00           271.510010
    1388545771 90.00  22.24            15.290000
    1388545771 90.00  23.04            14.960000
    1388545771 90.00  23.84            13.210000
    1388545771 90.00  25.44            11.240000
    1388545771 90.00  26.24            10.630000
    1388545771 90.00  27.84            10.210000
    1388545771 90.00  31.40            11.230000
    1388545771 90.00  51.26            91.169998
    1388545771 90.00  52.28           130.350006
    1388545771 90.00  53.86           233.289993
    1388545771 90.00  54.94           267.869995
    1388545771 90.00  56.66           271.799988
    1388545771 90.00  57.30           271.850006
    1388545771 90.00  58.00           271.760010
    1388545772 90.00  22.24            15.400000
    1388545772 90.00  23.04            14.980000
    1388545772 90.00  23.84            13.240000
    1388545772 90.00  25.44            11.210000
    1388545772 90.00  26.24            10.710000
    1388545772 90.00  27.84            10.200000
    1388545772 90.00  31.40            11.140000
    1388545772 90.00  51.26            91.059998
    1388545772 90.00  52.28           130.289993
    1388545772 90.00  53.86           233.149994
    1388545772 90.00  54.94           267.929993
    1388545772 90.00  56.66           271.670013
    1388545772 90.00  57.30           271.700012
    1388545772 90.00  58.00           271.720001
    1388545773 90.00  22.24            15.430000
    1388545773 90.00  23.04            14.970000
    1388545773 90.00  23.84            13.330000
    1388545773 90.00  25.44            11.300000
    1388545773 90.00  26.24            10.600000
    1388545773 90.00  27.84            10.260000
    1388545773 90.00  31.40            11.250000
    1388545773 90.00  51.26            91.459999
    1388545773 90.00  52.28           130.320007
    1388545773 90.00  53.86           233.509995
    1388545773 90.00  54.94           267.679993
    1388545773 90.00  56.66           271.630005
    1388545773 90.00  57.30           271.649994
    1388545773 90.00  58.00           271.589996
    1388545774 90.00  22.24            15.430000
    1388545774 90.00  23.04            14.830000
    1388545774 90.00  23.84            13.320000
    1388545774 90.00  25.44            11.380000
    1388545774 90.00  26.24            10.690000
    1388545774 90.00  27.84            10.230000
    1388545774 90.00  31.40            11.230000
    1388545774 90.00  51.26            91.169998
    1388545774 90.00  52.28           130.270004
    1388545774 90.00  53.86           233.500000
    1388545774 90.00  54.94           267.779999
    1388545774 90.00  56.66           271.929993
    1388545774 90.00  57.30           271.850006
    1388545774 90.00  58.00           271.769989
    1388545775 90.00  22.24            15.460000
    1388545775 90.00  23.04            15.020000
    1388545775 90.00  23.84            13.230000
    1388545775 90.00  25.44            11.310000
    1388545775 90.00  26.24            10.720000
    1388545775 90.00  27.84            10.310000
    1388545775 90.00  31.40            11.110000
    1388545775 90.00  51.26            91.300003
    1388545775 90.00  52.28           130.270004
    1388545775 90.00  53.86           233.190002
    1388545775 90.00  54.94           267.790009
    1388545775 90.00  56.66           271.440002
    1388545775 90.00  57.30           271.619995
    1388545775 90.00  58.00           271.579987
    1388545777 90.00  22.24            15.420000
    1388545777 90.00  23.04            14.910000
    1388545777 90.00  23.84            13.240000
    1388545777 90.00  25.44            11.290000
    1388545777 90.00  26.24            10.730000
    1388545777 90.00  27.84            10.250000
    1388545777 90.00  31.40            11.170000
    1388545777 90.00  51.26            91.349998
    1388545777 90.00  52.28           130.589996
    1388545777 90.00  53.86           233.550003
    1388545777 90.00  54.94           267.850006
    1388545777 90.00  56.66           271.820007
    1388545777 90.00  57.30           272.089996
    1388545777 90.00  58.00           271.839996
    1388545778 90.00  22.24            15.380000
    1388545778 90.00  23.04            14.900000
    1388545778 90.00  23.84            13.320000
    1388545778 90.00  25.44            11.250000
    1388545778 90.00  26.24            10.640000
    1388545778 90.00  27.84            10.200000
    1388545778 90.00  31.40            11.180000
    1388545778 90.00  51.26            91.669998
    1388545778 90.00  52.28           130.559998
    1388545778 90.00  53.86           233.669998
    1388545778 90.00  54.94           267.880005
    1388545778 90.00  56.66           271.890015
    1388545778 90.00  57.30           271.910004
    1388545778 90.00  58.00           271.970001
    1388545779 90.00  22.24            15.330000
    1388545779 90.00  23.04            14.880000
    1388545779 90.00  23.84            13.330000
    1388545779 90.00  25.44            11.220000
    1388545779 90.00  26.24            10.700000
    1388545779 90.00  27.84            10.270000
    1388545779 90.00  31.40            11.100000
    1388545779 90.00  51.26            91.430000
    1388545779 90.00  52.28           130.190002
    1388545779 90.00  53.86           233.649994
    1388545779 90.00  54.94           267.630005
    1388545779 90.00  56.66           271.640015
    1388545779 90.00  57.30           271.660004
    1388545779 90.00  58.00           271.980011
    1388545780 90.00  22.24            15.400000
    1388545780 90.00  23.04            14.950000
    1388545780 90.00  23.84            13.330000
    1388545780 90.00  25.44            11.310000
    1388545780 90.00  26.24            10.670000
    1388545780 90.00  27.84            10.300000
    1388545780 90.00  31.40            11.200000
    1388545780 90.00  51.26            91.459999
    1388545780 90.00  52.28           130.199997
    1388545780 90.00  53.86           233.320007
    1388545780 90.00  54.94           267.429993
    1388545780 90.00  56.66           271.700012
    1388545780 90.00  57.30           271.829987
    1388545780 90.00  58.00           271.829987
    1388545782 90.00  22.24            15.500000
    1388545782 90.00  23.04            14.990000
    1388545782 90.00  23.84            13.240000
    1388545782 90.00  25.44            11.280000
    1388545782 90.00  26.24            10.680000
    1388545782 90.00  27.84            10.220000
    1388545782 90.00  31.40            11.230000
    1388545782 90.00  51.26            91.559998
    1388545782 90.00  52.28           130.529999
    1388545782 90.00  53.86           233.380005
    1388545782 90.00  54.94           267.950012
    1388545782 90.00  56.66           271.589996
    1388545782 90.00  57.30           271.589996
    1388545782 90.00  58.00           271.700012
    1388545783 90.00  22.24            15.370000
    1388545783 90.00  23.04            14.920000
    1388545783 90.00  23.84            13.300000
    1388545783 90.00  25.44            11.360000
    1388545783 90.00  26.24            10.720000
    1388545783 90.00  27.84            10.340000
    1388545783 90.00  31.40            11.150000
    1388545783 90.00  51.26            91.279999
    1388545783 90.00  52.28           130.259995
    1388545783 90.00  53.86           233.619995
    1388545783 90.00  54.94           267.760010
    1388545783 90.00  56.66           271.769989
    1388545783 90.00  57.30           271.459991
    1388545783 90.00  58.00           271.739990
    1388545784 90.00  22.24            15.400000
    1388545784 90.00  23.04            14.890000
    1388545784 90.00  23.84            13.260000
    1388545784 90.00  25.44            11.290000
    1388545784 90.00  26.24            10.680000
    1388545784 90.00  27.84            10.340000
    1388545784 90.00  31.40            11.100000
    1388545784 90.00  51.26            91.550003
    1388545784 90.00  52.28           130.199997
    1388545784 90.00  53.86           233.500000
    1388545784 90.00  54.94           267.929993
    1388545784 90.00  56.66           271.609985
    1388545784 90.00  57.30           271.679993
    1388545784 90.00  58.00           271.790009
    1388545785 90.00  22.24            15.370000
    1388545785 90.00  23.04            14.790000
    1388545785 90.00  23.84            13.270000
    1388545785 90.00  25.44            11.230000
    1388545785 90.00  26.24            10.670000
    1388545785 90.00  27.84            10.300000
    1388545785 90.00  31.40            11.120000
    1388545785 90.00  51.26            91.199997
    1388545785 90.00  52.28           130.020004
    1388545785 90.00  53.86           233.330002
    1388545785 90.00  54.94           267.730011
    1388545785 90.00  56.66           271.630005
    1388545785 90.00  57.30           271.869995
    1388545785 90.00  58.00           271.739990
    1388545786 90.00  22.24            15.470000
    1388545786 90.00  23.04            14.820000
    1388545786 90.00  23.84            13.330000
    1388545786 90.00  25.44            11.230000
    1388545786 90.00  26.24            10.560000
    1388545786 90.00  27.84            10.160000
    1388545786 90.00  31.40            11.170000
    1388545786 90.00  51.26            91.379997
    1388545786 90.00  52.28           130.110001
    1388545786 90.00  53.86           233.339996
    1388545786 90.00  54.94           267.529999
    1388545786 90.00  56.66           271.420013
    1388545786 90.00  57.30           271.850006
    1388545786 90.00  58.00           271.730011
    1388545788 90.00  22.24            15.380000
    1388545788 90.00  23.04            14.890000
    1388545788 90.00  23.84            13.220000
    1388545788 90.00  25.44            11.240000
    1388545788 90.00  26.24            10.630000
    1388545788 90.00  27.84            10.160000
    1388545788 90.00  31.40            11.060000
    1388545788 90.00  51.26            91.660004
    1388545788 90.00  52.28           130.309998
    1388545788 90.00  53.86           233.619995
    1388545788 90.00  54.94           267.730011
    1388545788 90.00  56.66           271.649994
    1388545788 90.00  57.30           271.959991
    1388545788 90.00  58.00           271.779999
    1388545789 90.00  22.24            15.400000
    1388545789 90.00  23.04            14.960000
    1388545789 90.00  23.84            13.190000
    1388545789 90.00  25.44            11.240000
    1388545789 90.00  26.24            10.650000
    1388545789 90.00  27.84            10.250000
    1388545789 90.00  31.40            11.130000
    1388545789 90.00  51.26            91.309998
    1388545789 90.00  52.28           130.080002
    1388545789 90.00  53.86           233.339996
    1388545789 90.00  54.94           267.649994
    1388545789 90.00  56.66           271.790009
    1388545789 90.00  57.30           271.670013
    1388545789 90.00  58.00           271.450012
    1388545790 90.00  22.24            15.480000
    1388545790 90.00  23.04            14.970000
    1388545790 90.00  23.84            13.290000
    1388545790 90.00  25.44            11.280000
    1388545790 90.00  26.24            10.610000
    1388545790 90.00  27.84            10.210000
    1388545790 90.00  31.40            11.030000
    1388545790 90.00  51.26            91.559998
    1388545790 90.00  52.28           129.970001
    1388545790 90.00  53.86           233.309998
    1388545790 90.00  54.94           267.809998
    1388545790 90.00  56.66           271.619995
    1388545790 90.00  57.30           271.750000
    1388545790 90.00  58.00           271.670013
    1388545791 90.00  22.24            15.340000
    1388545791 90.00  23.04            14.940000
    1388545791 90.00  23.84            13.230000
    1388545791 90.00  25.44            11.270000
    1388545791 90.00  26.24            10.580000
    1388545791 90.00  27.84            10.170000
    1388545791 90.00  31.40            11.150000
    1388545791 90.00  51.26            91.190002
    1388545791 90.00  52.28           130.320007
    1388545791 90.00  53.86           233.389999
    1388545791 90.00  54.94           267.859985
    1388545791 90.00  56.66           271.500000
    1388545791 90.00  57.30           271.459991
    1388545791 90.00  58.00           271.329987
    1388545792 90.00  22.24            15.400000
    1388545792 90.00  23.04            14.920000
    1388545792 90.00  23.84            13.150000
    1388545792 90.00  25.44            11.180000
    1388545792 90.00  26.24            10.600000
    1388545792 90.00  27.84            10.260000
    1388545792 90.00  31.40            11.020000
    1388545792 90.00  51.26            91.529999
    1388545792 90.00  52.28           130.240005
    1388545792 90.00  53.86           233.449997
    1388545792 90.00  54.94           267.730011
    1388545792 90.00  56.66           271.540009
    1388545792 90.00  57.30           271.600006
    1388545792 90.00  58.00           271.859985
    1388545794 90.00  22.24            15.470000
    1388545794 90.00  23.04            15.030000
    1388545794 90.00  23.84            13.230000
    1388545794 90.00  25.44            11.230000
    1388545794 90.00  26.24            10.650000
    1388545794 90.00  27.84            10.270000
    1388545794 90.00  31.40            11.120000
    1388545794 90.00  51.26            91.459999
    1388545794 90.00  52.28           130.169998
    1388545794 90.00  53.86           233.550003
    1388545794 90.00  54.94           267.730011
    1388545794 90.00  56.66           271.579987
    1388545794 90.00  57.30           271.859985
    1388545794 90.00  58.00           271.899994
    1388545795 90.00  22.24            15.440000
    1388545795 90.00  23.04            14.880000
    1388545795 90.00  23.84            13.210000
    1388545795 90.00  25.44            11.270000
    1388545795 90.00  26.24            10.650000
    1388545795 90.00  27.84            10.260000
    1388545795 90.00  31.40            11.060000
    1388545795 90.00  51.26            91.559998
    1388545795 90.00  52.28           130.199997
    1388545795 90.00  53.86           233.410004
    1388545795 90.00  54.94           267.859985
    1388545795 90.00  56.66           271.410004
    1388545795 90.00  57.30           271.890015
    1388545795 90.00  58.00           271.739990
    1388545796 90.00  22.24            15.400000
    1388545796 90.00  23.04            14.940000
    1388545796 90.00  23.84            13.340000
    1388545796 90.00  25.44            11.290000
    1388545796 90.00  26.24            10.680000
    1388545796 90.00  27.84            10.200000
    1388545796 90.00  31.40            11.080000
    1388545796 90.00  51.26            91.480003
    1388545796 90.00  52.28           130.360001
    1388545796 90.00  53.86           233.360001
    1388545796 90.00  54.94           267.899994
    1388545796 90.00  56.66           271.619995
    1388545796 90.00  57.30           271.910004
    1388545796 90.00  58.00           271.579987
    1388545797 90.00  22.24            15.430000
    1388545797 90.00  23.04            14.940000
    1388545797 90.00  23.84            13.270000
    1388545797 90.00  25.44            11.330000
    1388545797 90.00  26.24            10.630000
    1388545797 90.00  27.84            10.160000
    1388545797 90.00  31.40            11.080000
    1388545797 90.00  51.26            91.480003
    1388545797 90.00  52.28           129.979996
    1388545797 90.00  53.86           233.479996
    1388545797 90.00  54.94           267.709991
    1388545797 90.00  56.66           271.579987
    1388545797 90.00  57.30           272.019989
    1388545797 90.00  58.00           271.839996
    1388545798 90.00  22.24            15.380000
    1388545798 90.00  23.04            14.900000
    1388545798 90.00  23.84            13.330000
    1388545798 90.00  25.44            11.250000
    1388545798 90.00  26.24            10.620000
    1388545798 90.00  27.84            10.100000
    1388545798 90.00  31.40            11.150000
    1388545798 90.00  51.26            91.529999
    1388545798 90.00  52.28           130.059998
    1388545798 90.00  53.86           233.440002
    1388545798 90.00  54.94           268.100006
    1388545798 90.00  56.66           271.489990
    1388545798 90.00  57.30           271.709991
    1388545798 90.00  58.00           271.690002
    1388545800 90.00  22.24            15.380000
    1388545800 90.00  23.04            15.010000
    1388545800 90.00  23.84            13.240000
    1388545800 90.00  25.44            11.300000
    1388545800 90.00  26.24            10.700000
    1388545800 90.00  27.84            10.180000
    1388545800 90.00  31.40            11.190000
    1388545800 90.00  51.26            91.489998
